"","Trial 1","Trial 2","Trial 3","Trial 4","Trial 5","Trial 6","Trial 7","Trial 8","Trial 9","Trial 10","Trial 1 RT","Trial 2 RT","Trial 3 RT","Trial 4 RT","Trial 5 RT","Trial 6 RT","Trial 7 RT","Trial 8 RT","Trial 9 RT","Trial 10 RT","Seq"
"EN05NE17",1,0,1,1,0,1,1,0,1,0,3.66859620000002,1.02872120000006,3.91554399999995,0.858419599999934,1.13139569999998,0.271549300000061,1.26401840000017,2.46173580000004,0.201622699999916,9.99596999999994,1
"EN06AS30",0,1,0,0,1,1,1,1,1,1,4.65060749999975,6.08014510000066,1.5208816000013,7.59596859999874,3.00015660000281,7.10070169999744,2.00276329999906,3.29364070000156,5.11116750000292,0.366061799999443,1
"EN06DE07",1,0,0,1,1,1,0,1,0,1,7.81864869999845,6.47215669999423,1.20286960000522,1.88654690000112,0.860114999995858,2.20640580000327,0.860424099999364,6.0233573000005,10.834635399995,0.453611299999466,1
"EN06ER09",1,0,1,1,1,1,1,1,1,1,1.64966969999659,4.85023579999688,2.13250649999827,2.78831750000245,1.11339589999989,2.43877649999922,1.10811159999867,3.07769689999986,1.68122099999891,1.6573802999992,1
"EN06IR08",1,1,0,0,1,1,1,1,1,1,36.5816774999985,41.2668715000036,7.89024860000063,8.96099639999738,30.2690002000018,2.74147640000592,0.802700799999002,4.69082619999972,4.23469050000131,7.57545519999985,1
"EN06NE18",1,1,0,1,1,1,1,1,0,1,7.81180459999996,10.2195172000002,3.45654319999994,1.50241730000016,0.00212459999966086,1.67979420000029,6.14077379999981,0.510179599999901,7.57213050000064,0.439442900000358,1
"EN06RE25",1,0,0,1,1,1,1,1,1,1,1.7561792000015,8.93116079999891,10.2529041999987,3.86221549999755,3.32150560000082,1.79676029999973,7.4414732999976,1.36212270000033,3.65159729999868,1.97565360000226,1
"en08ar12",1,1,1,1,1,1,1,1,1,1,1.74642160000076,2.74868359999527,3.62948939999478,1.09462789999816,2.02263620000303,4.1227280000021,0.912776099998155,4.32343419999961,1.55501229999936,4.03088529999513,1
"EN3HN11",1,1,1,1,1,1,1,1,1,1,10.2295095000009,6.7714691000001,6.38022690000071,10.3365223000001,5.90332820000185,2.34422650000488,2.40529349999997,2.75839859999542,4.78832590000093,1.53749880000396,1
"En4ur20",1,1,1,1,1,1,0,1,1,1,28.4286898999999,36.3767286000002,22.6050235999992,20.3159667999989,23.2752442000001,25.8122669999993,17.5146722999998,22.2505139000004,17.3664515,5.76339259999986,1
"EN6NE21",1,1,1,0,1,1,1,1,0,1,5.77819340000133,5.56187789999967,2.68658660000074,1.89467709999735,0.372120400003041,1.4850465999989,1.65310300000056,3.74069769999915,3.01757010000074,3.48477660000208,1
"EN7RL11",0,1,1,1,1,1,1,1,0,1,11.8146867999967,13.1400964999993,1.11386069999571,6.82911960000638,3.32853229999455,6.20370900000125,1.17089919999853,1.24043189999793,0.245185699997819,10.6070041999992,1
"ER08OM01",1,1,1,1,1,1,1,1,1,1,52.2389408999952,103.560872599999,19.3349478000018,23.9575282000005,3.43462680000084,3.72258080000029,3.09034809999866,19.6580590000012,20.216021799999,2.30656119999912,1
"Es9an25",1,0,1,1,1,1,1,1,1,1,0.530714100001205,2.2567326999997,1.67576469999767,4.64921309999772,1.51942029999918,1.82172939999873,0.882169000004069,2.5469338000039,0.165950400005386,0.413397100004659,1
"fs71oz05",1,1,1,1,1,1,0,1,0,1,26.7822581999972,26.9451913000012,22.2752681999991,24.5356181999996,29.1270181,24.3566491999991,1.62206200000219,2.13720850000027,1.42262409999967,20.5313800000004,1
"HL07EN21",1,0,1,1,0,1,1,0,1,1,3.65560850000111,6.84934449999855,1.20297889999711,11.0105428000024,11.4819085000017,13.3952463999995,0.18403180000314,14.0760040999994,14.4847455999989,12.6483429,1
"id06ik27",0,0,0,1,1,1,1,1,1,1,10.0412340000039,5.18366550000064,7.58641740000166,3.89731030000257,1.40954639999836,0.68958990000101,3.38069410000026,6.34208089999447,4.21828880000248,1.61717900000076,1
"IK05RS26",0,1,1,1,1,1,1,1,1,0,3.18472569999722,0.792291299992939,3.70943550000084,0.44418990000122,0.321622899995418,0.536121700002695,1.73478220000106,1.84182390000205,2.44132949999766,3.25678899999912,1
"IN05NS01",1,1,1,1,1,1,1,1,1,1,28.117255000001,52.2658766999994,25.5027808000013,26.5693675000002,4.41468480000185,26.0793489000025,27.9181392999999,4.40146919999825,2.40458570000192,0.497679300002346,1
"LI04NK07",1,1,1,1,1,1,0,0,1,0,1.77774789999967,3.50532120000207,0.940181099998881,0.528641900000366,0.958834400000342,0.556552899997769,0.869757600001321,0.987063799999305,1.18907380000019,0.731150199997501,1
"MA06HA94",0,1,1,1,1,0,1,1,1,1,13.3999778999987,16.7752323000004,23.2818568000002,3.88660049999999,1.60276420000082,17.7988806000012,5.60546689999865,1.06197169999905,1.17535270000008,5.00706329999957,1
"NA4IN26",0,0,0,1,0,0,1,1,1,1,1.80261180000525,1.91201120000187,1.13705979999941,1.81250520000322,8.20299530000193,1.01094939999894,0.00863219999882858,0.427351600003021,0.601918300002581,0.762369099997159,1
